window_index,window_start_time,window_end_time,activity,source_file,AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,accel_mag_mean,accel_mag_std,accel_mag_min,accel_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max
10,22.4,25.38,cycling,cycling-gisela-01.csv,7.238374020000001,0.5505406568563364,6.014235,8.90643,4.6647029600000005,0.6165667673979721,3.44765,6.684611,6.322160973333333,0.44438995454498365,5.434838,7.412448,-0.09074467333333336,0.08033772231560934,-0.284982,0.104187,-0.0041408200000000025,0.12693427815832203,-0.257003,0.279919,-0.0019140866666666678,0.17068490437446177,-0.481498,0.477234,10.710203086709944,0.5436114401146204,9.62793044352835,12.10221899088758,0.22567854727903466,0.09499682275840174,0.03507864930409949,0.5402109397466882
11,24.64,27.62,cycling,cycling-gisela-01.csv,7.351667666666668,0.565160286345973,6.296751,8.968679,4.71932272,0.5221354880056723,3.44765,6.042965,6.07329168,0.43469791577208067,5.300763,7.235278,-0.08911216,0.07399102312128411,-0.210239,0.075409,-0.004582240000000001,0.09144535042145337,-0.237951,0.241548,-0.0133871,0.13005431910945262,-0.481498,0.271792,10.662259392441289,0.5487392735618737,9.62793044352835,12.10221899088758,0.17911655893171854,0.08251967208740918,0.01772197672383078,0.5377109650035045
12,26.88,29.86,cycling,cycling-gisela-01.csv,7.490435573333334,0.5772850538660584,6.378153,9.050082,4.66524566,0.43513357950469767,3.811569,5.78918,5.9834292866666665,0.3579494865360444,5.099649,6.828263,-0.08957048000000001,0.08608080246982831,-0.250475,0.100057,-0.0173147,0.08496487487424828,-0.267262,0.20904,-0.011146166666666669,0.11776804967819395,-0.318423,0.211838,10.677153568186847,0.5671745380768707,9.491049971181956,12.097305723013285,0.17911138065050045,0.06974430527007118,0.01772197672383078,0.3577629224626275
13,29.12,32.1,cycling,cycling-gisela-01.csv,7.737868313333333,0.5753216734852615,6.694188,9.050082,4.60500758,0.4350227727646798,3.86903,5.78918,5.739635713333332,0.3974059855807968,5.070919,6.737284,-0.08342588,0.08969190946359432,-0.250475,0.085934,0.004556493333333333,0.1066983101274334,-0.307498,0.20904,-0.011858486666666668,0.0987609735671425,-0.318423,0.189855,10.693010614403759,0.6015100386084301,9.655290207237325,12.097305723013285,0.17473456113164468,0.07597363914300487,0.02662662438237337,0.3712555465349979
14,31.36,34.34,cycling,cycling-gisela-01.csv,7.577488726666667,0.661812976101556,6.095637,8.978256,4.58413006,0.3932491963976571,3.5099,5.808333,5.877509786666666,0.39417322927329956,5.075707,6.92882,-0.08393483333333333,0.09618192341103164,-0.276855,0.151084,0.012540606666666666,0.11961550257029935,-0.33441,0.253806,-0.022318013333333334,0.10307991749220516,-0.264597,0.219565,10.644528341566353,0.6478698697953851,8.9953935196949,11.980472802349706,0.1891262587035985,0.0782047011795297,0.03836015727287885,0.40606041425999656
15,33.6,36.58,cycling,cycling-gisela-01.csv,7.575701053333332,0.6139968856487442,6.095637,8.959103,4.648135086666667,0.5735298609618734,3.414132,6.330269,5.840798773333334,0.44655582800225024,5.085284,7.000646,-0.07371152,0.09885669326567086,-0.250608,0.174133,0.006751273333333332,0.10383883511788171,-0.237418,0.28738,-0.02176286,0.11496177291076834,-0.252073,0.218233,10.661479690240306,0.5912090519158463,8.9953935196949,11.980472802349706,0.1891628746507483,0.06278021594758403,0.03487133934909871,0.34965825176592075
16,35.84,38.82,cycling,cycling-gisela-01.csv,6.405032173333334,1.2259015960572897,3.945644,8.628703,5.246047086666666,0.7132709361741949,3.77805,6.943185,6.6012929,0.908749955472694,4.788404,8.355764,-0.07904428666666666,0.12342304158653342,-0.520668,0.151884,0.05890419333333333,0.2116584039945086,-0.264597,0.951937,-0.06889123333333333,0.1978796261301103,-0.802851,0.350265,10.701421008354625,0.6629631691684691,9.390455139861647,12.027330957290317,0.2648482740388903,0.20858564339155167,0.04170006290163122,1.3077421300111118
17,38.08,41.06,cycling,cycling-gisela-01.csv,6.558580353333333,1.0752100558328384,4.074931,8.494628,5.230819926666666,0.6750858214194607,4.060566,6.943185,6.49189386,0.7494675473749172,5.161899,8.355764,-0.058778053333333344,0.08864775177835676,-0.25727,0.151884,-0.06573983333333333,0.09763919159841616,-0.266995,0.151351,0.06992863333333332,0.13482664093936414,-0.200247,0.3909,10.690760455162513,0.6342706608349514,9.444344837806591,12.054648980762359,0.201245326803699,0.08796008286849435,0.05128271148252596,0.44580469906114717
18,40.32,43.3,cycling,cycling-gisela-01.csv,7.569412293333334,0.5902980315703082,5.861006,9.23683,4.557059660000001,0.7246604443867747,3.136404,6.325481,5.912337460000001,0.572229554082516,4.927267,7.206547,-0.08177196666666665,0.07458421957683513,-0.210106,0.110449,-0.010665613333333334,0.11305352377641233,-0.223029,0.297239,0.004588473333333334,0.17205978503104463,-0.33481,0.426873,10.671136502323215,0.5885629866628427,9.58602029347346,12.161861183644755,0.22039938022754016,0.07870229854480858,0.06675094760376064,0.436348839605424
19,42.56,45.54,cycling,cycling-gisela-01.csv,7.612795246666666,0.5635902920221265,6.349423,8.901642,4.625884986666667,0.6560316065310166,3.136404,6.426037,5.756299346666666,0.5159578732177784,4.927267,7.393295,-0.08078968,0.09194870706601008,-0.277787,0.118709,-0.001745333333333334,0.12228265033659608,-0.323086,0.276188,-0.023116479999999995,0.15111062947574624,-0.271925,0.337075,10.63583505963266,0.6178042920109712,9.604896927867472,12.205508709859085,0.21606581101820785,0.08137560558663,0.02421968127370796,0.37165233601983455
