window_index,window_start_time,window_end_time,activity,source_file,AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,accel_mag_mean,accel_mag_std,accel_mag_min,accel_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max
347,70.0,71.98,walking,walking-gisela-01.csv,8.03187627,0.47427795570744924,6.947973,9.964667,4.198567890000001,0.35620857733692757,3.485958,5.334281,5.594052210000001,0.2880831832908785,4.936844,6.445191,-0.10228961,0.11708163798699563,-0.347867,0.271925,0.031697,0.1979416244234143,-0.340539,0.643773,-0.01526303,0.1800318264234663,-0.404224,0.301902,10.6569953624525,0.5437782330448545,9.425511919065935,12.620616187866345,0.2775986617448184,0.1412099938520142,0.07129080626560481,0.7727925693968596
246,47.0,48.98,running,running-gisela-01.csv,9.295344390000002,6.489409243810068,0.095768,22.931664,3.930513029999999,3.109364222809375,-0.617704,10.721235,4.78294458,2.820636502226794,0.828394,10.0748,-0.08568762999999999,0.24596232624646622,-0.537188,0.552377,0.01895078999999999,0.6433804733916362,-1.312994,1.125937,-0.05767582000000001,0.3865218379995205,-1.259835,0.775806,11.3317049960555,7.487185667983345,1.114319706721998,26.584824033920953,0.7295487761822362,0.32034608860584124,0.1834643067710992,1.5732801166817052
206,7.0,8.98,running,running-gisela-01.csv,8.39943425,6.987818348381303,-0.47884,24.641125,3.4506671199999994,3.1397783295325494,-0.363919,11.63582,4.30453524,2.885922639864954,0.426168,10.34774,-0.06271999,0.28340350463847463,-0.822703,0.615662,0.034620130000000006,0.6054982505354851,-1.512175,1.174034,-0.02354597,0.3033421268277604,-0.662692,0.614596,10.232389897196978,7.95620403390505,0.9659172536247606,28.970883102749664,0.6733367768484196,0.302103412666477,0.17562898889135586,1.6334815671509735
102,26.0,27.98,inclinewalk,inclinewalk-gisela-01.csv,8.225902359999997,0.6514398911945218,6.775591,10.591949,4.12947128,0.396966424099522,3.457227,5.157111,5.52672729,0.3962691051020328,4.635174,6.560112,-0.06312495,0.13319265364811791,-0.352663,0.157613,0.006520370000000002,0.16142229016091025,-0.290178,0.506412,0.0009499099999999988,0.16464166087148752,-0.461513,0.283916,10.745210590560133,0.7363097639606645,9.045908663169833,13.0165635996806,0.23941877630712494,0.13270697667865422,0.03180913447423554,0.6203897945912715
198,59.0,60.98,resting,resting-gisela-01.csv,7.710239339999999,0.12403116138908159,7.431602,7.996634,4.28179043,0.1533456208435869,3.998317,4.793192,6.03530361,0.10420030007383806,5.813122,6.339846,-0.0708604,0.05074941235068639,-0.231156,0.016121,-0.0054958099999999985,0.042429257790514076,-0.121907,0.099124,0.00457918,0.06510968804415822,-0.202245,0.127769,10.688781809725837,0.07816243624133902,10.511754742422314,10.919308290754547,0.10407447034661191,0.05344052745868252,0.02385151418673456,0.29660401572635525
297,20.0,21.98,walking,walking-gisela-01.csv,7.90507939,0.5032879596432621,6.737284,9.428367,4.1942583099999995,0.2808860312133622,3.624821,5.046977,5.732580810000001,0.2961552261634663,5.003881,6.411672,-0.08527066,0.10620560666087454,-0.307631,0.190787,0.010002999999999995,0.148789679424616,-0.185591,0.539986,-0.02078541,0.14793107142538345,-0.327349,0.258602,10.632444295528703,0.5617807665832022,9.52538979439482,12.368804455487403,0.22920200313282102,0.1028164479893771,0.07596260072562024,0.6164982965199498
222,23.0,24.98,running,running-gisela-01.csv,9.100839480000001,6.674558349830235,-0.469264,23.769634,4.09920856,3.158397968236347,-0.397437,11.473015,5.0529626599999995,3.018414429971909,0.957681,11.319786,-0.07735807,0.26977159422186225,-0.747028,0.563035,0.01416251,0.6124142360697618,-1.506312,1.172568,-0.027272469999999997,0.36632996149344527,-1.038138,0.771009,11.403847709484822,7.664823004052129,1.2485434294593039,27.57426976939607,0.6913332621035759,0.3331853932729622,0.1130143877256343,1.7067792958531576
10,10.0,11.98,cycling,cycling-gisela-01.csv,6.53569181,0.5155500406173525,5.310339,7.963115,5.27806552,0.2860658097729081,4.630386,6.186617,6.553169470000001,0.377977280901735,5.822699,7.584831,-0.08421683000000002,0.061166499571915174,-0.250075,0.018519,0.016232889999999996,0.1288475387537453,-0.231556,0.401825,-0.04816714000000001,0.1106811979053371,-0.211971,0.226493,10.664701587529082,0.5214456222734805,9.646390241416372,11.994874674384722,0.1868789386099788,0.08570690366200245,0.026479962122329406,0.4544094495694384
305,28.0,29.98,walking,walking-gisela-01.csv,8.078706910000001,0.6004164956269955,6.698977,10.409989,4.162511210000001,0.4305359347567006,3.323152,5.33907,5.566949910000001,0.4004669292881772,4.477157,6.612785,-0.047218460000000004,0.1176138651891366,-0.292043,0.157613,-0.009931110000000003,0.179309144190858,-0.277387,0.536655,0.019736859999999995,0.14388920877758832,-0.433268,0.258335,10.66832003378211,0.6900136151562589,9.234695642392282,12.617094225713066,0.23213585757708022,0.12457765473006592,0.06718111774896277,0.6275748965414406
94,18.0,19.98,inclinewalk,inclinewalk-gisela-01.csv,8.41504432,0.49068300458768443,7.43639,10.228029,3.9271611699999998,0.4205946536509007,3.150769,5.224148,5.2050424,0.27602856959543154,4.481946,5.90889,-0.06322884000000001,0.09454829784419388,-0.319489,0.146554,-0.02024712,0.11145904605515695,-0.306698,0.194917,-0.0039476699999999995,0.1691414146751206,-0.422077,0.392632,10.653457132900414,0.5707404934599789,9.388574265712128,12.528672470368477,0.20649066749467235,0.10842664867611958,0.03887159450035463,0.5587281643464915
